time,open,high,low,close
2020-11-23T08:30:00-06:00,4351,4356.5,4350.75,4356.25
2020-11-23T08:45:00-06:00,4356.25,4366,4356.25,4359.75
2020-11-23T09:00:00-06:00,4359.75,4361,4347.5,4350.5
2020-11-23T09:15:00-06:00,4350.75,4353,4338.25,4339
2020-11-23T09:30:00-06:00,4339.25,4348,4337,4345.75
2020-11-23T09:45:00-06:00,4345.75,4351.25,4344.25,4349
2020-11-23T10:00:00-06:00,4349.25,4350.5,4331.5,4331.75
2020-11-23T10:15:00-06:00,4331.75,4337.25,4331,4334.75
2020-11-23T10:30:00-06:00,4334.75,4336.5,4326.75,4331
2020-11-23T10:45:00-06:00,4331,4338.5,4330,4336.25
2020-11-23T11:00:00-06:00,4336,4336.5,4330,4334.5
2020-11-23T11:15:00-06:00,4334.5,4341.25,4333.5,4339
2020-11-23T11:30:00-06:00,4339,4341.75,4338.25,4340.75
2020-11-23T11:45:00-06:00,4340.5,4345.25,4339.5,4345
2020-11-23T12:00:00-06:00,4345,4348,4343.75,4346.75
2020-11-23T12:15:00-06:00,4346.75,4347.5,4343.75,4344.5
2020-11-23T12:30:00-06:00,4344.75,4346.5,4342.25,4343.25
2020-11-23T12:45:00-06:00,4343.25,4348.5,4342.5,4346
2020-11-23T13:00:00-06:00,4346,4347.5,4341,4343.75
2020-11-23T13:15:00-06:00,4344,4345.75,4340.5,4343.5
2020-11-23T13:30:00-06:00,4343.5,4347,4342.75,4345.5
2020-11-23T13:45:00-06:00,4345.25,4354.75,4344,4354.75
2020-11-23T14:00:00-06:00,4354.75,4362.5,4353.75,4359.75
2020-11-23T14:15:00-06:00,4359.75,4360,4354.25,4355.75
2020-11-23T14:30:00-06:00,4355.75,4356,4349.5,4354
2020-11-23T14:45:00-06:00,4354,4358,4348.25,4353.5
2020-11-23T15:00:00-06:00,4353.25,4354.75,4351.25,4354
2020-11-24T08:30:00-06:00,4380.5,4382.25,4372.5,4375
2020-11-24T08:45:00-06:00,4375,4382,4371.25,4381.5
2020-11-24T09:00:00-06:00,4381.75,4387,4379.75,4385.25
2020-11-24T09:15:00-06:00,4385.5,4389,4383.25,4386.25
2020-11-24T09:30:00-06:00,4386,4393.25,4383,4392.25
2020-11-24T09:45:00-06:00,4392.5,4396,4391.5,4393.25
2020-11-24T10:00:00-06:00,4393.5,4398.25,4393.25,4395.75
2020-11-24T10:15:00-06:00,4395.75,4403,4395.5,4402.5
2020-11-24T10:30:00-06:00,4402.75,4406.25,4400.25,4405
2020-11-24T10:45:00-06:00,4405,4413.75,4404,4408.25
2020-11-24T11:00:00-06:00,4408.5,4410,4405.5,4407.25
2020-11-24T11:15:00-06:00,4407.25,4408.5,4404.5,4405.75
2020-11-24T11:30:00-06:00,4406,4410.25,4405.5,4407.75
2020-11-24T11:45:00-06:00,4408,4409.25,4407,4408.5
2020-11-24T12:00:00-06:00,4408.5,4412.25,4408,4411.75
2020-11-24T12:15:00-06:00,4411.75,4412.5,4404.75,4406.5
2020-11-24T12:30:00-06:00,4406.5,4416.75,4406.5,4412
2020-11-24T12:45:00-06:00,4412,4413.25,4407.5,4409.5
2020-11-24T13:00:00-06:00,4409.25,4413,4407.25,4409.25
2020-11-24T13:15:00-06:00,4409.25,4409.5,4404,4404.25
2020-11-24T13:30:00-06:00,4404.25,4410.5,4401.5,4410
2020-11-24T13:45:00-06:00,4409.75,4409.75,4405.25,4409.5
2020-11-24T14:00:00-06:00,4409.5,4412.25,4404.5,4410.25
2020-11-24T14:15:00-06:00,4410.25,4413.25,4407.25,4411.25
2020-11-24T14:30:00-06:00,4411,4413.25,4406.25,4407
2020-11-24T14:45:00-06:00,4407,4413,4406.25,4410.5
2020-11-24T15:00:00-06:00,4410.25,4414.75,4409.5,4411.5
2020-11-25T08:30:00-06:00,4409.75,4410,4401.5,4404.75
2020-11-25T08:45:00-06:00,4404.5,4405.5,4396.75,4400
2020-11-25T09:00:00-06:00,4399.75,4402,4393.25,4401.75
2020-11-25T09:15:00-06:00,4401.75,4402.75,4397.25,4398.75
2020-11-25T09:30:00-06:00,4399,4401.5,4396.5,4398.25
2020-11-25T09:45:00-06:00,4398.25,4403.5,4397.5,4399
2020-11-25T10:00:00-06:00,4399.25,4403,4398.25,4400.75
2020-11-25T10:15:00-06:00,4400.75,4401.25,4398.5,4400
2020-11-25T10:30:00-06:00,4400,4402,4395,4395.5
2020-11-25T10:45:00-06:00,4395.5,4400.25,4394.5,4400
2020-11-25T11:00:00-06:00,4400,4402,4398.25,4401.75
2020-11-25T11:15:00-06:00,4401.75,4402,4399.5,4399.5
2020-11-25T11:30:00-06:00,4399.25,4405,4399.25,4404
2020-11-25T11:45:00-06:00,4404,4405.75,4403.25,4405.25
2020-11-25T12:00:00-06:00,4405.5,4407.5,4404,4404.25
2020-11-25T12:15:00-06:00,4404.25,4405.5,4401.5,4402
2020-11-25T12:30:00-06:00,4402,4403.75,4400,4403.25
2020-11-25T12:45:00-06:00,4403,4407,4401.25,4405.25
2020-11-25T13:00:00-06:00,4405.75,4405.75,4397.5,4398.5
2020-11-25T13:15:00-06:00,4398.25,4403.75,4398,4402.5
2020-11-25T13:30:00-06:00,4402.5,4404.5,4398.75,4399.75
2020-11-25T13:45:00-06:00,4399.5,4404.25,4399.25,4403
2020-11-25T14:00:00-06:00,4403.25,4409.25,4402.25,4408.75
2020-11-25T14:15:00-06:00,4408.75,4410,4405,4408
2020-11-25T14:30:00-06:00,4408,4410,4403.75,4407.25
2020-11-25T14:45:00-06:00,4407,4408.5,4402.5,4405.25
2020-11-25T15:00:00-06:00,4405,4408.25,4402.25,4406.5
2020-11-27T08:30:00-06:00,4416.75,4420,4415.25,4417.75
2020-11-27T08:45:00-06:00,4417.75,4418.75,4413.75,4415.25
2020-11-27T09:00:00-06:00,4415.5,4418.75,4414.5,4418
2020-11-27T09:15:00-06:00,4418.25,4420.75,4416.5,4418.75
2020-11-27T09:30:00-06:00,4418.75,4420.25,4417.25,4418.75
2020-11-27T09:45:00-06:00,4418.75,4419.75,4417.5,4418.5
2020-11-27T10:00:00-06:00,4418.75,4420,4416.25,4417.25
2020-11-27T10:15:00-06:00,4417.5,4417.75,4415.5,4416.5
2020-11-27T10:30:00-06:00,4416.75,4417.75,4412,4416
2020-11-27T10:45:00-06:00,4416,4416,4410.25,4412.5
2020-11-27T11:00:00-06:00,4412.75,4413.5,4407.5,4409.25
2020-11-27T11:15:00-06:00,4409.25,4411.5,4405.5,4405.75
2020-11-27T11:30:00-06:00,4405.75,4411,4404.25,4410
2020-11-27T11:45:00-06:00,4409.75,4415.75,4409.5,4415
2020-11-27T12:00:00-06:00,4415,4416,4412.25,4415
2020-11-30T08:30:00-06:00,4406.5,4409.5,4399,4401
2020-11-30T08:45:00-06:00,4400.5,4405.5,4397.25,4401
2020-11-30T09:00:00-06:00,4401.25,4404.5,4395.75,4396.75
2020-11-30T09:15:00-06:00,4396.75,4398.75,4389.75,4390.75
2020-11-30T09:30:00-06:00,4390.75,4391,4371.75,4372.5
