time,open,high,low,close
1997-09-09,1869.25,1876.75,1868.25,1869.5
1997-09-10,1869.25,1869.75,1850,1850.75
1997-09-11,1851.5,1853,1836,1844
1997-09-12,1843.5,1861.75,1839.5,1859.5
1997-09-15,1859.25,1865.5,1854.75,1857.25
1997-09-16,1857,1885.75,1856,1881.75
1997-09-17,1881.75,1888.25,1877.25,1881.75
1997-09-18,1881.5,1896.25,1880.5,1883.5
1997-09-19,1883.5,1889,1878.75,1886.25
1997-09-22,1886,1897.75,1886,1892
1997-09-23,1891,1893,1882.25,1887.75
1997-09-24,1887.25,1896.25,1877.75,1880.25
1997-09-25,1879.5,1883.25,1871.25,1872.25
1997-09-26,1872,1882.25,1872,1879
1997-09-29,1879,1890.25,1876,1887.5
1997-09-30,1886.75,1891,1878.5,1880.25
1997-10-01,1881.25,1892.25,1880.25,1889.25
1997-10-02,1889,1895.25,1886.75,1894.75
1997-10-03,1895,1911.25,1887.5,1901.25
1997-10-06,1902.5,1909.5,1902.25,1907.25
1997-10-07,1907.25,1918,1903.25,1915.25
1997-10-08,1915.25,1917.5,1900.5,1908
1997-10-09,1908,1909,1895,1903.75
1997-10-10,1904.5,1906.75,1889.75,1902.5
1997-10-13,1902.5,1907.5,1899.75,1902
1997-10-14,1902,1907.25,1894.25,1903.25
1997-10-15,1901.5,1902.5,1893.75,1899.25
1997-10-16,1899.25,1907,1881,1885.5
1997-10-17,1884.75,1885.75,1861.25,1874.5
1997-10-20,1889.25,1889.25,1888,1888
1997-10-21,1890,1906.25,1890,1905.25
1997-10-22,1904.75,1906.25,1896.25,1900
1997-10-23,1898.75,1900,1873.25,1881.25
1997-10-24,1881.75,1894.75,1867.25,1869.75
1997-10-27,1868.25,1869.75,1799.75,1799.75
1997-10-28,1787.75,1858.75,1769.75,1850.25
1997-10-29,1850.25,1867.75,1842,1850.25
1997-10-30,1850.25,1854.25,1827.75,1828.75
1997-10-31,1827.75,1852,1815.5,1849.75
1997-11-03,1849.5,1873.75,1847,1871.5
1997-11-04,1871.75,1872.5,1862,1871.5
1997-11-05,1867.25,1881.75,1864,1872.75
1997-11-06,1872.25,1873.25,1863,1868
1997-11-07,1868,1868.75,1842.25,1857
1997-11-10,1855.75,1866.25,1848.5,1852
1997-11-11,1851.75,1855.5,1850,1852.25
1997-11-12,1852.25,1855.25,1831.25,1834
1997-11-13,1832.75,1848.25,1828.25,1845
1997-11-14,1845.75,1858.25,1845.75,1858.25
1997-11-17,1857.75,1880.25,1857.75,1875.75
1997-11-18,1875.75,1880.25,1865.75,1868.25
1997-11-19,1868,1877.25,1862,1873.5
1997-11-20,1873.75,1891.25,1872.75,1888.75
1997-11-21,1888.25,1896.75,1883.25,1895.25
1997-11-24,1894.25,1894.75,1872.75,1875.5
1997-11-25,1875.75,1883.25,1870.5,1877.5
1997-11-26,1877.75,1885.5,1874.5,1880.75
1997-11-28,1880.5,1888,1879.5,1880.75
1997-12-01,1881.25,1905.25,1881.25,1905.25
1997-12-02,1905.75,1907.75,1897.75,1900.75
1997-12-03,1900.5,1907,1894.75,1903.25
1997-12-04,1903.25,1911.5,1898.25,1902.75
1997-12-05,1902,1914.75,1888.75,1912.25
1997-12-08,1912.25,1915.5,1906.25,1910.25
1997-12-09,1910.5,1912,1900.25,1904.75
1997-12-10,1904.5,1905.5,1889.25,1896
1997-12-11,1895.5,1896,1877,1880.25
1997-12-12,1874.25,1890.75,1872.5,1881.25
1997-12-15,1881.5,1893.25,1875.25,1889
1997-12-16,1888.25,1900.5,1888,1895.25
