time,open,high,low,close
2015-10-06,2710.75,2717.5,2697.75,2703.25
2015-10-07,2716.75,2726.5,2702.75,2722.5
2015-10-08,2717.75,2744,2714,2742.25
2015-10-09,2742.25,2747.5,2734,2742
2015-10-12,2742.25,2746.75,2737.5,2746
2015-10-13,2734.75,2750,2728.5,2729
2015-10-14,2730.25,2737,2717.75,2719.5
2015-10-15,2729.5,2754.75,2724.75,2754.25
2015-10-16,2757,2761.25,2747.5,2761
2015-10-19,2753.5,2763,2749.5,2762.5
2015-10-20,2757,2766.75,2753.75,2756.5
2015-10-21,2765,2766.5,2743.25,2743.75
2015-10-22,2758.5,2789.25,2756.75,2787
2015-10-23,2801.5,2808.75,2792,2801.25
2015-10-26,2802,2802.75,2794.75,2797.5
2015-10-27,2790.75,2799,2786.5,2795.75
2015-10-28,2798.75,2820.5,2790.75,2819
2015-10-29,2812.25,2821.75,2810.75,2818.25
2015-10-30,2819.5,2823.5,2805,2809.5
2015-11-02,2812.25,2835.25,2810.5,2830
2015-11-03,2828.75,2845.5,2825.75,2837.5
2015-11-04,2842.25,2843.75,2825.75,2830
2015-11-05,2832.5,2838.5,2819.25,2829.5
2015-11-06,2825.75,2831.5,2812.75,2829
2015-11-09,2821.25,2823.25,2797.25,2808
2015-11-10,2803,2814.25,2799.75,2813
2015-11-11,2817,2817.75,2803.25,2804.5
2015-11-12,2793,2798.75,2775.25,2776
2015-11-13,2771.5,2774.75,2751.25,2754.5
2015-11-16,2751.25,2786.25,2749.75,2783.25
2015-11-17,2788,2798.75,2776.75,2784.75
2015-11-18,2788.75,2817.75,2788,2814.5
2015-11-19,2814.25,2819,2810.5,2814.75
2015-11-20,2823,2829.75,2817,2823.75
2015-11-23,2822.25,2828.25,2813.5,2819.5
2015-11-24,2806.75,2826.75,2802.25,2820
2015-11-25,2823.25,2825.75,2818.5,2823.75
2015-11-27,2822.75,2826.5,2816.75,2825.75
2015-11-30,2825.5,2827.25,2813.75,2817.75
2015-12-01,2823,2836.75,2819.5,2835.25
2015-12-02,2834.75,2838.5,2810.25,2817.25
2015-12-03,2816.75,2819.75,2775.25,2786.5
2015-12-04,2789,2828.25,2787.25,2823.5
2015-12-07,2820.25,2820.75,2799.75,2816.5
2015-12-08,2792.75,2808.5,2785.5,2793.5
2015-12-09,2789.75,2815,2769.5,2777.5
2015-12-10,2782.25,2802.25,2779,2784
2015-12-11,2761.25,2769,2742.5,2744.75
2015-12-14,2748.25,2759.75,2727.5,2753.75
2015-12-15,2775.25,2790,2773.75,2782.25
2015-12-16,2792.5,2813,2775.25,2807.75
2015-12-17,2812.75,2813.75,2767.5,2768.5
2015-12-18,2766,2768,2735.25,2736.5
2015-12-21,2754.25,2760.5,2740,2759
2015-12-22,2767,2780.75,2754.75,2779.75
2015-12-23,2787.25,2802,2786,2797
2015-12-24,2798,2804,2793.75,2795
2015-12-28,2789.25,2793.75,2779.5,2793.5
2015-12-29,2805.25,2818.75,2805,2817
2015-12-30,2811.5,2812.75,2797.75,2799.25
2015-12-31,2791.25,2799,2774.5,2780.75
2016-01-04,2744.25,2753.75,2724.5,2753.75
2016-01-05,2753.25,2758.5,2739.5,2756.25
2016-01-06,2722.25,2739.75,2714.75,2730.25
2016-01-07,2692.75,2713.25,2672.75,2676.25
2016-01-08,2691,2697.5,2654.25,2656
2016-01-11,2669,2673.25,2636.75,2658.5
2016-01-12,2677,2684.5,2650,2669.25
2016-01-13,2683.25,2687.5,2622.25,2625.25
2016-01-14,2634.25,2671.75,2615.25,2659.5
2016-01-15,2606,2626.25,2593.5,2619.75
2016-01-19,2638.25,2639.75,2600.5,2618
2016-01-20,2589,2613.5,2548.5,2599
2016-01-21,2600.5,2627.5,2585,2605.5
2016-01-22,2636.5,2646.5,2627.5,2643
2016-01-25,2638,2640,2612.25,2614
2016-01-26,2623,2644,2618.75,2640.25
2016-01-27,2634.5,2654.25,2608.75,2619.25
2016-01-28,2638,2640.5,2610,2625.75
2016-01-29,2638.75,2677.25,2637.5,2672.5
2016-02-01,2663.5,2684.25,2656.75,2674.75
2016-02-02,2657.75,2658.25,2633.25,2641.5
2016-02-03,2652.75,2656.5,2609.25,2652.25
2016-02-04,2645.75,2666,2638,2652
2016-02-05,2648.25,2649.5,2610,2619.25
2016-02-08,2595.75,2599.25,2566,2596.75
2016-02-09,2571.5,2608,2570,2592.5
2016-02-10,2602.5,2622,2587.75,2591.25
2016-02-11,2561.5,2579,2549.25,2569.5
2016-02-12,2587.75,2605,2577.75,2603.25
2016-02-16,2626.5,2636.75,2614.5,2632.75
2016-02-17,2650.25,2671.5,2648.25,2667
2016-02-18,2670.25,2671.25,2655.5,2660.5
2016-02-19,2650.25,2660.25,2642.75,2658.5
2016-02-22,2677,2688,2676.25,2679.5
2016-02-23,2678.5,2681.5,2659.5,2659.75
2016-02-24,2644.5,2675.5,2631,2674.75
2016-02-25,2675.75,2695,2666.25,2694.75
2016-02-26,2704,2705.25,2686,2686.75
2016-02-29,2689,2700.5,2670.75,2674.25
2016-03-01,2688,2722.75,2682.5,2722.25
2016-03-02,2715.25,2729,2710.5,2727
2016-03-03,2726,2736,2719,2735.25
2016-03-04,2738.5,2751.75,2728.25,2739
2016-03-07,2731.5,2748.75,2730.25,2743
2016-03-08,2731,2737.25,2720.25,2725.75
2016-03-09,2731.75,2736,2722.25,2733.25
2016-03-10,2737.5,2749,2711.5,2733.5
2016-03-11,2751,2766.5,2749.5,2764.5
2016-03-14,2759.75,2768.75,2756.25,2762.75
2016-03-15,2751.75,2760.75,2748.75,2759.75
2016-03-16,2754,2776.5,2753.5,2770.25
2016-03-17,2770.5,2790.5,2765.75,2784
2016-03-18,2790.5,2796.5,2786.75,2791.25
2016-03-21,2789.5,2798.25,2786.5,2796.25
2016-03-22,2786,2801.25,2784.25,2796.5
2016-03-23,2790.25,2792.25,2779,2782.75
2016-03-24,2768.5,2782.75,2766,2782.25
2016-03-28,2785,2787.75,2775.75,2782
2016-03-29,2776.75,2801.75,2773,2801.25
2016-03-30,2812,2818.25,2805.25,2808.75
2016-03-31,2808.25,2813.5,2802.5,2807.5
2016-04-01,2792.75,2820.75,2789,2819.25
2016-04-04,2818,2820.25,2808,2810.75
2016-04-05,2795.75,2801.75,2788,2792.75
2016-04-06,2792,2814.25,2788.75,2814
2016-04-07,2800.75,2804.75,2779.75,2788.5
2016-04-08,2802.75,2808,2787.75,2794.5
2016-04-11,2802,2810.25,2787.25,2788.5
2016-04-12,2791.5,2812.25,2786.25,2809.75
2016-04-13,2819.5,2830.75,2817.75,2829.75
2016-04-14,2830.25,2835.5,2825.5,2830.75
