time,open,high,low,close
1997-09-01,1869.25,1897.75,1836,1880.25
1997-10-01,1881.25,1918,1769.75,1849.75
1997-11-03,1849.5,1896.75,1828.25,1880.75
1997-12-01,1881.25,1915.5,1856,1893.75
1998-01-01,1894,1913.75,1829.25,1902.5
1998-02-02,1902.75,1969.75,1902.5,1965.25
1998-03-02,1964,2028.25,1946.75,2013.5
1998-04-01,2012.75,2045.5,1984.5,2022.25
1998-05-01,2022.25,2040,1978,1993.75
1998-06-01,1993,2049.5,1974.25,2034.5
1998-07-01,2034.5,2091.25,2007.75,2014.5
1998-08-03,2013.75,2019.75,1843.5,1845.5
1998-09-01,1843.25,1962,1826.5,1907.25
1998-10-01,1907.75,1991.5,1810.5,1986.5
1998-11-02,1986.25,2079.25,1983,2043.75
1998-12-01,2044,2126,2016.75,2114.75
1999-01-01,2112.5,2160.25,2072.75,2150.5
1999-02-01,2143.5,2148.5,2086.75,2105
1999-03-01,2108.5,2194.25,2097.25,2150.25
1999-04-01,2149,2233,2147.25,2194
1999-05-03,2215.25,2232.25,2134.25,2153
1999-06-01,2155,2228.75,2134.25,2223.75
1999-07-01,2224,2274,2178,2181.75
1999-08-02,2174.75,2230,2113.25,2162
1999-09-01,2162.25,2207.75,2094.25,2124.5
1999-10-01,2123.75,2209.75,2068.25,2203
1999-11-01,2201.75,2259.25,2178.75,2218.5
1999-12-01,2218.25,2306.75,2213,2292.25
2000-01-03,2296.25,2303.25,2164.25,2208
2000-02-01,2210,2262,2134.75,2179.25
2000-03-01,2180.75,2363.5,2155.75,2306.75
2000-04-03,2303.25,2334,2131.5,2249.25
2000-05-01,2248.25,2282,2154.75,2211.5
2000-06-01,2211.25,2281.25,2209.5,2235
2000-07-03,2239.25,2300,2190.5,2206
2000-08-01,2206.5,2297,2200.25,2288.25
2000-09-01,2289.75,2324.5,2179.5,2196.75
2000-10-02,2196.5,2216.75,2066.75,2183.5
2000-11-01,2183.75,2197.75,2039.5,2063.75
2000-12-01,2064.25,2134.75,1993,2049.75
2001-01-01,2053.75,2116.75,2010.25,2096.25
2001-02-01,2096.25,2108.75,1939.75,1964.75
2001-03-01,1962,1993.25,1797.75,1883.75
2001-04-02,1882.75,1984.5,1808.25,1964
2001-05-01,1963,2029,1944.75,1964.25
2001-06-01,1965.5,1998.25,1905,1936.75
2001-07-02,1932.5,1947.25,1867.5,1914.25
2001-08-01,1913,1933.25,1824.5,1837.5
2001-09-03,1836.5,1857.5,1634,1739.25
2001-10-01,1739.75,1810,1724.25,1751.75
2001-11-01,1753,1860.25,1748.75,1830.75
2001-12-03,1832.75,1870.75,1809.75,1842.5
2002-01-01,1837,1871.75,1774,1823.75
2002-02-01,1822,1825.5,1767,1800.25
2002-03-01,1799.5,1868.25,1799.25,1835.5
2002-04-01,1836,1840.75,1754.25,1766.75
2002-05-01,1767.5,1799.75,1736.5,1754.75
2002-06-03,1757,1761.75,1635.5,1678
2002-07-01,1679,1686.25,1461,1598
2002-08-01,1599.25,1656,1518.5,1602.25
2002-09-02,1603.25,1617.5,1487.75,1504.5
2002-10-01,1506,1598.75,1456.75,1575
2002-11-01,1571.5,1632,1559.75,1625.5
2002-12-02,1623.5,1644.75,1558.25,1569.25
2003-01-01,1573.25,1627.25,1526.25,1545
2003-02-03,1545,1554.25,1495.5,1531.25
2003-03-03,1534.25,1587,1478.75,1538.25
2003-04-01,1535.75,1615,1534.25,1607.25
2003-05-01,1606.75,1657.25,1591.75,1654.5
2003-06-02,1655,1708.25,1654.75,1665.75
2003-07-01,1665.25,1707.25,1652.75,1681.75
2003-08-01,1681.25,1704.75,1650.75,1700.25
2003-09-01,1700.75,1733.5,1682.25,1688.5
2003-10-01,1690,1750.25,1689.5,1744
2003-11-03,1741.75,1759,1724.75,1752.25
2003-12-01,1753.5,1807.25,1747.5,1806.25
2004-01-01,1806.75,1850.75,1799.25,1825.75
2004-02-02,1826,1854.5,1817.75,1840.25
