time,open,high,low,close
2015-10-06,2710.75,2823.5,2697.75,2809.5
2015-11-02,2812.25,2845.5,2749.75,2817.75
2015-12-01,2823,2838.5,2727.5,2780.75
2016-01-04,2744.25,2758.5,2548.5,2672.5
2016-02-01,2663.5,2705.25,2549.25,2674.25
2016-03-01,2688,2818.25,2682.5,2807.5
2016-04-01,2792.75,2859,2779.75,2815
2016-05-02,2818.75,2855.25,2775.75,2848.5
2016-06-01,2839.5,2873.5,2744.25,2851.25
2016-07-01,2852,2934.5,2828.5,2933.25
2016-08-01,2930.75,2954.25,2904.25,2933
2016-09-01,2931,2949.5,2880,2928.25
2016-10-03,2924,2932.75,2877,2892.25
2016-11-01,2894.25,2982.25,2848.25,2969
2016-12-01,2971,3047.75,2955.25,3009.5
2017-01-03,3026.75,3071.25,3014.25,3049.75
2017-02-01,3056.5,3145.5,3041.5,3137.5
2017-03-01,3156.25,3175.75,3096,3136.75
2017-04-03,3137.25,3172.75,3102,3158.5
2017-05-01,3164,3195.75,3129.5,3191.75
2017-06-01,3193.75,3231.5,3182.25,3201.25
2017-07-03,3211.75,3260.5,3185.25,3250
2017-08-01,3254.5,3268.5,3195.75,3249
2017-09-01,3255.25,3299.5,3225.5,3298.5
2017-10-02,3300,3362.5,3299.25,3354.25
2017-11-01,3363.25,3440.25,3337.25,3423
2017-12-01,3427,3476.75,3386.75,3451.75
2018-01-02,3465.75,3654,3460.5,3608.25
2018-02-01,3595.5,3615.5,3309,3497.75
2018-03-01,3492.25,3581,3359.75,3410.5
2018-04-02,3405.75,3491.75,3325.75,3421
2018-05-01,3415,3515.5,3365,3479.25
2018-06-01,3495.25,3566,3463.5,3492.25
2018-07-02,3473.25,3619.5,3470.5,3594
2018-08-01,3589.5,3687.5,3565,3675.75
2018-09-04,3667.5,3711.5,3635,3685.25
2018-10-01,3698.75,3709.75,3368,3470.75
2018-11-01,3485.5,3582.5,3393.5,3529.25
2018-12-03,3566.25,3567.5,3102.25,3270
2019-01-02,3229.75,3470.75,3205,3468.5
2019-02-01,3466.75,3575.75,3442.5,3550.75
2019-03-01,3565.5,3622.75,3483.75,3596.5
2019-04-01,3615.75,3708.25,3612.75,3707.25
2019-05-01,3710.75,3712.75,3506.75,3508.75
2019-06-03,3507.75,3721.75,3485.5,3707.25
2019-07-01,3731.75,3782,3708,3731.25
2019-08-01,3733.75,3766.75,3573,3673.75
2019-09-03,3656.5,3774.5,3643.5,3735
2019-10-01,3736.75,3799,3605,3785.75
2019-11-01,3801.75,3905,3800.25,3893.75
2019-12-02,3894.75,3996.75,3819.5,3980.5
2020-01-02,3992.25,4083.25,3958.5,3973.75
2020-02-03,3985,4139.5,3599,3716.75
2020-03-02,3726.25,3882.75,2936.25,3317
2020-04-01,3231.5,3704,3191,3654.5
2020-05-01,3607,3822.25,3517,3811
