time,open,high,low,close
1997-09-08,1869.25,1876.75,1836,1859.5
1997-09-15,1859.25,1896.25,1854.75,1886.25
1997-09-22,1886,1897.75,1871.25,1879
1997-09-29,1879,1911.25,1876,1901.25
1997-10-06,1902.5,1918,1889.75,1902.5
1997-10-13,1902.5,1907.5,1861.25,1874.5
1997-10-20,1889.25,1906.25,1867.25,1869.75
1997-10-27,1868.25,1869.75,1769.75,1849.75
1997-11-03,1849.5,1881.75,1842.25,1857
1997-11-10,1855.75,1866.25,1828.25,1858.25
1997-11-17,1857.75,1896.75,1857.75,1895.25
1997-11-24,1894.25,1894.75,1870.5,1880.75
1997-12-01,1881.25,1914.75,1881.25,1912.25
1997-12-08,1912.25,1915.5,1872.5,1881.25
1997-12-15,1881.5,1902.75,1872.25,1872.25
1997-12-22,1871.5,1879.75,1856.25,1860.75
1997-12-29,1860.25,1899.5,1856,1899.5
1998-01-05,1901.75,1907.5,1840.25,1844.25
1998-01-12,1843.75,1887.5,1829.25,1883.25
1998-01-19,1883.25,1900.75,1869.75,1879.25
1998-01-26,1875.75,1913.75,1868.25,1902.5
1998-02-02,1902.75,1934,1902.5,1933.25
1998-02-09,1933.75,1946.25,1925,1937
1998-02-16,1937.25,1952.75,1932.25,1952.25
1998-02-23,1952,1969.75,1945,1965.25
1998-03-02,1964,1972.75,1946.75,1972
1998-03-09,1968.75,1994.75,1965.75,1984.25
1998-03-16,1984,2016.75,1980,2014.25
1998-03-23,2013.5,2028.25,2001.75,2010.5
1998-03-30,2009.25,2040.5,2003.25,2037.75
1998-04-06,2037.5,2045.5,2008,2022.5
1998-04-13,2022,2034.5,2008.75,2033.5
1998-04-20,2033.5,2043,2012,2015.75
1998-04-27,2015,2033.25,1984.5,2032.5
1998-05-04,2032.5,2040,1999,2018.5
1998-05-11,2018.5,2032.25,2009.5,2015.5
1998-05-18,2013.5,2031.75,2003.5,2017
1998-05-25,2015.5,2023.75,1978,1993.75
1998-06-01,1993,2021,1980.25,2020.5
1998-06-08,2020.25,2030.75,1984,2003.5
1998-06-15,2004.5,2018.5,1974.25,2003.75
1998-06-22,2002,2046,1999.25,2039
1998-06-29,2039.25,2051,2032.5,2049.5
1998-07-06,2049.75,2069.25,2047.25,2064
1998-07-13,2061.75,2088.5,2055.5,2085.25
