time,open,high,low,close
2015-10-06,2710.75,2747.5,2697.75,2742
2015-10-12,2742.25,2761.25,2717.75,2761
2015-10-19,2753.5,2808.75,2743.25,2801.25
2015-10-26,2802,2823.5,2786.5,2809.5
2015-11-02,2812.25,2845.5,2810.5,2829
2015-11-09,2821.25,2823.25,2751.25,2754.5
2015-11-16,2751.25,2829.75,2749.75,2823.75
2015-11-23,2822.25,2828.25,2802.25,2825.75
2015-11-30,2825.5,2838.5,2775.25,2823.5
2015-12-07,2820.25,2820.75,2742.5,2744.75
2015-12-14,2748.25,2813.75,2727.5,2736.5
2015-12-21,2754.25,2804,2740,2795
2015-12-28,2789.25,2818.75,2774.5,2780.75
2016-01-04,2744.25,2758.5,2654.25,2656
2016-01-11,2669,2687.5,2593.5,2619.75
2016-01-19,2638.25,2646.5,2548.5,2643
2016-01-25,2638,2677.25,2608.75,2672.5
2016-02-01,2663.5,2684.25,2609.25,2619.25
2016-02-08,2595.75,2622,2549.25,2603.25
2016-02-16,2626.5,2671.5,2614.5,2658.5
2016-02-22,2677,2705.25,2631,2686.75
2016-02-29,2689,2751.75,2670.75,2739
2016-03-07,2731.5,2766.5,2711.5,2764.5
2016-03-14,2759.75,2796.5,2748.75,2791.25
2016-03-21,2789.5,2801.25,2766,2782.25
2016-03-28,2785,2820.75,2773,2819.25
2016-04-04,2818,2820.25,2779.75,2794.5
2016-04-11,2802,2835.5,2786.25,2828.5
2016-04-18,2820.5,2859,2819,2840
2016-04-25,2832.25,2847.75,2799.5,2815
2016-05-02,2818.75,2831.25,2787.5,2806.5
2016-05-09,2804.25,2833.5,2792.25,2797.25
2016-05-16,2798,2822.25,2775.75,2803.75
2016-05-23,2803.25,2851.75,2797.75,2851.25
2016-05-31,2853.75,2858,2836.5,2851.75
2016-06-06,2855,2873.5,2842.25,2849.75
2016-06-13,2842,2852,2803.5,2821.5
2016-06-20,2847.25,2869.5,2779.25,2784.5
2016-06-27,2773.5,2863.5,2744.25,2859.5
2016-07-05,2848,2888.25,2828.5,2882.5
2016-07-11,2890.25,2927,2888,2915.25
2016-07-18,2918.75,2932.5,2915,2930
2016-07-25,2928.75,2934.5,2914.75,2933.25
2016-08-01,2930.75,2941.25,2904.25,2939.5
2016-08-08,2943,2948,2930.5,2943
2016-08-15,2947.5,2953.5,2928.25,2944.5
2016-08-22,2940.75,2954.25,2920.25,2931.5
2016-08-29,2932.5,2946.5,2917.5,2940.75
2016-09-06,2944.5,2949.5,2885,2885.75
2016-09-12,2880.75,2925.5,2880,2901.25
2016-09-19,2908.25,2942,2897,2928
2016-09-26,2917.25,2937.5,2902,2928.25
2016-10-03,2924,2928.5,2905.25,2915.75
2016-10-10,2927.25,2932.75,2877,2896.25
2016-10-17,2896.25,2911.75,2887,2904
2016-10-24,2915,2918.25,2881.75,2893.25
2016-10-31,2894.5,2897,2848.25,2849
2016-11-07,2878.75,2947.75,2877.25,2930.75
2016-11-14,2934.75,2956.75,2921.5,2949.75
2016-11-21,2955.75,2981,2954,2980.75
2016-11-28,2975.5,2982.25,2955.25,2961.5
2016-12-05,2970.25,3030,2968,3029
2016-12-12,3027.75,3047.75,3017.75,3030
2016-12-19,3030.75,3044.25,3026.25,3034.5
2016-12-27,3037,3044.25,3002.75,3009.5
2017-01-03,3026.75,3051.75,3014.25,3046
2017-01-09,3043.5,3048.75,3023.25,3047
2017-01-17,3037.25,3047.5,3027.75,3041.25
2017-01-23,3037.25,3071.25,3026.5,3063.5
2017-01-30,3055.75,3068.75,3037,3066
2017-02-06,3061.5,3090.5,3055.75,3087.5
2017-02-13,3093.75,3125.75,3093.25,3122.25
2017-02-21,3127.75,3141.5,3126.25,3139.75
2017-02-27,3138.5,3175.75,3132.25,3155.5
2017-03-06,3146.75,3153,3128.75,3146.25
2017-03-13,3147.5,3165.75,3132.75,3152.75
2017-03-20,3150.75,3156.75,3109.75,3122.75
2017-03-27,3099,3144.75,3096,3136.75
2017-04-03,3137.25,3153,3118,3130.25
2017-04-10,3132.25,3141.25,3102,3105.5
2017-04-17,3108.75,3136.25,3106.75,3125.25
2017-04-24,3149.5,3172.75,3143.75,3158.5
2017-05-01,3164,3176,3153.5,3175.75
2017-05-08,3173.75,3178,3157,3166.75
2017-05-15,3170.5,3182.5,3129.5,3159.5
2017-05-22,3164,3195.75,3163,3192
2017-05-30,3187.75,3217.75,3180.75,3215.75
2017-06-05,3213.75,3223.75,3192.75,3209
2017-06-12,3204.5,3222,3196.25,3211.5
2017-06-19,3220,3231.5,3208,3214.5
2017-06-26,3222.25,3227.5,3182.25,3201.25
2017-07-03,3211.75,3216.5,3185.25,3202.5
2017-07-10,3201,3241.25,3190.25,3236.25
2017-07-17,3235.75,3255.25,3228,3249.25
2017-07-24,3249,3260.5,3237,3251
2017-07-31,3253.75,3257.75,3243.25,3252.5
2017-08-07,3254.25,3268.5,3215.75,3220.25
2017-08-14,3234.25,3254,3199.5,3207
2017-08-21,3204.25,3234,3195.75,3222.5
2017-08-28,3228.25,3259.75,3206.25,3254
2017-09-05,3248.75,3251.25,3225.5,3242.75
2017-09-11,3255.75,3279.75,3255.75,3279
2017-09-18,3282.75,3289,3275.75,3281
2017-09-25,3277.5,3299.5,3266.75,3298.5
2017-10-02,3300,3332.5,3299.25,3327
2017-10-09,3330.75,3337.25,3321,3334.25
2017-10-16,3336.5,3356.25,3327,3355.75
2017-10-23,3358.5,3362.5,3323.25,3360.25
2017-10-30,3354,3367.25,3344,3364.5
2017-11-06,3364.75,3375.25,3345,3361.5
2017-11-13,3354.25,3371.25,3337.25,3357.75
2017-11-20,3361.75,3384.75,3358.75,3383.25
2017-11-27,3383.5,3440.25,3379.5,3426.25
2017-12-04,3442,3447,3405.75,3433
2017-12-11,3434.25,3461.5,3433,3460.75
2017-12-18,3471.25,3476.75,3457.75,3465
2017-12-26,3464.25,3472.75,3447.5,3451.75
2018-01-02,3465.75,3522,3460.5,3521.5
2018-01-08,3518.75,3567.75,3515.25,3567.25
2018-01-16,3579.5,3593.75,3548,3590
2018-01-22,3588.25,3654,3588,3652.75
2018-01-29,3645,3650,3534,3536
2018-02-05,3518,3541.75,3309,3396.75
2018-02-12,3418.25,3533.5,3398.75,3513.25
2018-02-20,3499.5,3528.25,3472.25,3527
2018-02-26,3538.25,3568.5,3425.75,3469.25
2018-03-05,3454.75,3565.75,3453.25,3562
2018-03-12,3568.75,3581,3519.5,3529.5
2018-03-19,3518.75,3519,3359.75,3370.5
