time,open,high,low,close,Bar Direction,Streak,EMA
1997-09-08,1806.75,1814.25,1773.5,1797,-1,-1,
1997-09-15,1796.75,1833.75,1792.25,1823.75,1,1,
1997-09-22,1823.5,1835.25,1808.75,1816.5,-1,-1,
1997-09-29,1816.5,1848.75,1813.5,1838.75,1,1,
1997-10-06,1840,1855.5,1827.25,1840,0,0,
1997-10-13,1840,1845,1798.75,1812,-1,-1,
1997-10-20,1826.75,1843.75,1804.75,1807.25,-1,-2,
1997-10-27,1805.75,1807.25,1707.25,1787.25,-1,-3,
1997-11-03,1787,1819.25,1779.75,1794.5,1,1,
1997-11-10,1793.25,1803.75,1765.75,1795.75,1,2,
1997-11-17,1795.25,1834.25,1795.25,1832.75,1,3,
1997-11-24,1831.75,1832.25,1808,1818.25,-1,-1,
1997-12-01,1818.75,1852.25,1818.75,1849.75,1,1,
1997-12-08,1849.75,1853,1810,1818.75,-1,-1,
1997-12-15,1819,1840.25,1809.75,1809.75,-1,-2,
1997-12-22,1809,1817.25,1793.75,1798.25,-1,-3,
1997-12-29,1797.75,1837,1793.5,1837,1,1,
1998-01-05,1839.25,1845,1777.75,1781.75,-1,-1,
1998-01-12,1781.25,1825,1766.75,1820.75,1,1,
1998-01-19,1820.75,1838.25,1807.25,1816.75,-1,-1,1814.825
1998-01-26,1813.25,1851.25,1805.75,1840,1,1,1817.222619047619
1998-02-02,1840.25,1871.5,1840,1870.75,1,2,1822.3204648526078
1998-02-09,1871.25,1883.75,1862.5,1874.5,1,3,1827.2899443904546
1998-02-16,1874.75,1890.25,1869.75,1889.75,1,4,1833.2385211151732
1998-02-23,1889.5,1907.25,1882.5,1902.75,1,5,1839.8586619613473
1998-03-02,1901.5,1910.25,1884.25,1909.5,1,6,1846.491170345981
1998-03-09,1906.25,1932.25,1903.25,1921.75,1,7,1853.658677932078
1998-03-16,1921.5,1954.25,1917.5,1951.75,1,8,1863.0007086052135
1998-03-23,1951,1965.75,1939.25,1948,-1,-1,1871.0958792142408
1998-03-30,1946.75,1978,1940.75,1975.25,1,1,1881.015319289075
1998-04-06,1975,1983,1945.5,1960,-1,-1,1888.5376698329726
1998-04-13,1959.5,1972,1946.25,1971,1,1,1896.3912250869753
1998-04-20,1971,1980.5,1949.5,1953.25,-1,-1,1901.8063465072632
1998-04-27,1952.5,1970.75,1922,1970,1,1,1908.3009801732383
1998-05-04,1970,1977.5,1936.5,1956,-1,-1,1912.8437439662632
1998-05-11,1956,1969.75,1947,1953,-1,-2,1916.6681493028095
1998-05-18,1951,1969.25,1941,1954.5,1,1,1920.2711827025419
1998-05-25,1953,1961.25,1915.5,1931.25,-1,-1,1921.3167843499189
1998-06-01,1930.5,1958.5,1917.75,1958,1,1,1924.810423935641
1998-06-08,1957.75,1968.25,1921.5,1941,-1,-1,1926.3522883227229
1998-06-15,1942,1956,1911.75,1941.25,-1,-2,1927.7711180062731
1998-06-22,1939.5,1983.5,1936.75,1976.5,1,1,1932.4119639104376
1998-06-29,1976.75,1988.5,1970,1987,1,2,1937.610824490396
1998-07-06,1987.25,2006.75,1984.75,2001.5,1,3,1943.695507872263
1998-07-13,1999.25,2026,1993,2022.75,1,4,1951.2245071225238
1998-07-20,2022.75,2028.75,1964.25,1976.5,-1,-1,1953.6316969203788
1998-07-27,1975,1984,1945.25,1952,-1,-2,1953.476297213676
1998-08-03,1951.25,1957.25,1889,1923.75,-1,-3,1950.645221288564
1998-08-10,1922.5,1927,1887,1891.25,-1,-4,1944.988533546796
1998-08-17,1892.25,1942,1877,1915.75,1,1,1942.203911304244
1998-08-24,1915.75,1940,1849,1860,-1,-1,1934.3749673705065
1998-08-31,1859.75,1870,1764,1805,-1,-2,1922.0535419066487
1998-09-07,1806.5,1858,1787,1842.25,1,1,1914.453204582206
1998-09-14,1846,1878.25,1840,1849.75,1,2,1908.2909946219959
1998-09-21,1849.25,1899.5,1849,1869.75,1,3,1904.6204237056154
1998-09-28,1869,1890.75,1797.25,1831.75,-1,-1,1897.6803833526997
