time,open,high,low,close,Bar Direction,Streak,EMA
2016-06-09T15:30:00+02:00,2800.75,2803.75,2798.75,2799.5,-1,-1,
2016-06-09T16:30:00+02:00,2799.75,2803.25,2798.25,2799.75,0,0,
2016-06-09T17:30:00+02:00,2800,2800.5,2797.5,2800.25,1,1,
2016-06-09T18:30:00+02:00,2800.25,2805.5,2799.75,2804.75,1,2,
2016-06-09T19:30:00+02:00,2804.75,2805.75,2801,2803.25,-1,-1,
2016-06-09T20:30:00+02:00,2803.5,2807.25,2803.25,2806,1,1,
2016-06-09T21:30:00+02:00,2806.25,2808,2805.25,2805.75,-1,-1,
2016-06-10T15:30:00+02:00,2790.25,2792.75,2786.5,2791.75,1,1,
2016-06-10T16:30:00+02:00,2791.5,2794.25,2789.5,2792,1,2,
2016-06-10T17:30:00+02:00,2791.75,2793,2787,2787.75,-1,-1,
2016-06-10T18:30:00+02:00,2787.75,2790.25,2785.75,2789.5,1,1,
2016-06-10T19:30:00+02:00,2789.25,2789.5,2780.25,2781.75,-1,-1,
2016-06-10T20:30:00+02:00,2781.75,2783.75,2779.75,2783,1,1,
2016-06-10T21:30:00+02:00,2783,2788.75,2783,2787.25,1,2,
2016-06-13T15:30:00+02:00,2779.5,2788.25,2779,2787.25,1,3,
2016-06-13T16:30:00+02:00,2787,2789.5,2782.75,2784.75,-1,-1,
2016-06-13T17:30:00+02:00,2784.75,2785,2776.25,2779.75,-1,-2,
2016-06-13T18:30:00+02:00,2780,2783.25,2778.75,2781.5,1,1,
2016-06-13T19:30:00+02:00,2781.5,2781.75,2775.25,2776.75,-1,-1,
2016-06-13T20:30:00+02:00,2776.75,2780.5,2772.25,2774,-1,-2,2790.8125
2016-06-13T21:30:00+02:00,2773.75,2775.25,2769,2769.75,-1,-3,2788.8065476190477
2016-06-14T15:30:00+02:00,2765.5,2773,2760.75,2762.75,-1,-4,2786.3249716553287
2016-06-14T16:30:00+02:00,2762.75,2765,2755,2756.5,-1,-5,2783.484498164345
2016-06-14T17:30:00+02:00,2756.75,2766.25,2755.5,2765.5,1,1,2781.77168881536
2016-06-14T18:30:00+02:00,2765.75,2765.75,2759,2759.5,-1,-1,2779.6505755948497
2016-06-14T19:30:00+02:00,2759.25,2763.5,2757.5,2763,1,1,2778.064806490578
2016-06-14T20:30:00+02:00,2763,2766,2755,2765.75,1,2,2776.8919677771896
2016-06-14T21:30:00+02:00,2765.75,2768.25,2763.75,2766.5,1,3,2775.9022565603145
2016-06-15T15:30:00+02:00,2771.5,2775.75,2769.25,2772.25,1,4,2775.5544226021893
2016-06-15T16:30:00+02:00,2772.25,2775.75,2771,2771,-1,-1,2775.1206680686473
2016-06-15T17:30:00+02:00,2771.25,2773.75,2770.25,2772.25,1,1,2774.8472711097284
2016-06-15T18:30:00+02:00,2772.25,2773.25,2770.25,2772.25,0,0,2774.599911956421
2016-06-15T19:30:00+02:00,2772.25,2779.75,2770.5,2770.5,-1,-1,2774.2094441510476
2016-06-15T20:30:00+02:00,2770.75,2775.5,2768.75,2774.5,1,1,2774.2371161366623
2016-06-15T21:30:00+02:00,2774.5,2775,2761.25,2763.5,-1,-1,2773.2145336474564
2016-06-16T15:30:00+02:00,2753.25,2754.25,2742.5,2745.75,-1,-2,2770.5988637762703
2016-06-16T16:30:00+02:00,2745.5,2754.25,2741,2754,1,1,2769.0180196071015
2016-06-16T17:30:00+02:00,2754,2758.75,2746.75,2757.25,1,2,2767.8972558349965
2016-06-16T18:30:00+02:00,2757.25,2763,2755.5,2759.25,1,3,2767.073707660235
2016-06-16T19:30:00+02:00,2759.5,2766,2755.5,2762,1,4,2766.5904974068794
2016-06-16T20:30:00+02:00,2762,2770,2761.5,2769.25,1,5,2766.843783368129
2016-06-16T21:30:00+02:00,2769,2771.75,2768.5,2770.5,1,6,2767.1919944759265
2016-06-17T15:30:00+02:00,2768.25,2768.5,2760.5,2760.75,-1,-1,2766.578471192505
2016-06-17T16:30:00+02:00,2760.75,2762,2754,2754,-1,-2,2765.3805215551233
2016-06-17T17:30:00+02:00,2754.25,2762.75,2753.5,2761.5,1,1,2765.010948073683
2016-06-17T18:30:00+02:00,2761.5,2762.5,2756.25,2760.75,-1,-1,2764.605143495237
2016-06-17T19:30:00+02:00,2760.5,2763.75,2759.25,2763.5,1,1,2764.4998917337857
2016-06-17T20:30:00+02:00,2763.5,2766.5,2761.5,2763,-1,-1,2764.3570449019967
2016-06-17T21:30:00+02:00,2762.75,2763.75,2758,2759,-1,-2,2763.846850149426
2016-06-20T15:30:00+02:00,2784.75,2792.75,2784.5,2789.75,1,1,2766.3138168018613
2016-06-20T16:30:00+02:00,2789.75,2790,2787,2788.5,-1,-1,2768.4267866302553
2016-06-20T17:30:00+02:00,2788.5,2789,2783.75,2785,-1,-2,2770.005187903564
2016-06-20T18:30:00+02:00,2785,2787.25,2782,2783,-1,-3,2771.2427890556055
2016-06-20T19:30:00+02:00,2782.75,2786,2781,2781.75,-1,-4,2772.2434758122145
2016-06-20T20:30:00+02:00,2782,2785,2778.5,2778.75,-1,-5,2772.8631447824796
2016-06-20T21:30:00+02:00,2778.5,2780.75,2771.5,2774.75,-1,-6,2773.0428452793863
2016-06-21T15:30:00+02:00,2779.5,2781,2774.25,2777.75,-1,-7,2773.4911457289686
2016-06-21T16:30:00+02:00,2777.75,2783,2776.5,2779.75,1,1,2774.0872270881146
2016-06-21T17:30:00+02:00,2779.75,2781.5,2776.75,2781.25,1,2,2774.7693959368657
2016-06-21T18:30:00+02:00,2781.25,2782,2777.75,2778.75,-1,-1,2775.1485010857355
2016-06-21T19:30:00+02:00,2778.75,2783,2776.5,2782.25,1,1,2775.8248343156656
2016-06-21T20:30:00+02:00,2782.25,2786,2780.25,2784.5,1,2,2776.6510405713166
2016-06-21T21:30:00+02:00,2784.25,2784.75,2779.5,2780.5,-1,-1,2777.017608135953
2016-06-22T15:30:00+02:00,2782.75,2787.25,2782,2786.5,1,1,2777.920693075386
2016-06-22T16:30:00+02:00,2786.5,2791.5,2784.75,2790.75,1,2,2779.1425318301112
2016-06-22T17:30:00+02:00,2790.75,2790.75,2780.5,2782.25,-1,-1,2779.4384811796244
2016-06-22T18:30:00+02:00,2782.25,2783,2776.75,2779.5,-1,-2,2779.4443401148983
2016-06-22T19:30:00+02:00,2779.5,2784.25,2779.25,2782.75,1,1,2779.7591648658604
2016-06-22T20:30:00+02:00,2782.5,2783.75,2777.5,2778,-1,-1,2779.591625354826
2016-06-22T21:30:00+02:00,2778,2780,2775.5,2777.5,-1,-2,2779.392422940081
2016-06-23T15:30:00+02:00,2794.75,2796.25,2789.25,2793.5,-1,-3,2780.736001707692
2016-06-23T16:30:00+02:00,2793.5,2798.75,2790.5,2798.5,1,1,2782.4278110688642
2016-06-23T17:30:00+02:00,2798.25,2800,2797.25,2797.75,-1,-1,2783.8870671575437
2016-06-23T18:30:00+02:00,2798,2798.5,2795.5,2797.25,-1,-2,2785.159727428254
2016-06-23T19:30:00+02:00,2797.25,2797.75,2794.75,2796.75,-1,-3,2786.2635629112774
2016-06-23T20:30:00+02:00,2796.5,2799.5,2796,2797,1,1,2787.286080729251
2016-06-23T21:30:00+02:00,2796.75,2807,2796.5,2806.5,1,2,2789.1159778026554
2016-06-24T15:30:00+02:00,2731.75,2765,2729.25,2755.25,1,3,2785.8906465833547
2016-06-24T16:30:00+02:00,2755.25,2758.5,2743.25,2747.75,-1,-1,2782.2582040516068
2016-06-24T17:30:00+02:00,2747.75,2752.5,2741,2744.5,-1,-2,2778.6621846181206
2016-06-24T18:30:00+02:00,2744.5,2745.5,2736.25,2740.5,-1,-3,2775.0276908449664
2016-06-24T19:30:00+02:00,2740.25,2745.5,2735.5,2736,-1,-4,2771.3107679073505
2016-06-24T20:30:00+02:00,2736,2738.75,2722.5,2726.25,-1,-5,2767.0192662018885
2016-06-24T21:30:00+02:00,2726,2740,2716.75,2722,-1,-6,2762.7317170398037
2016-06-27T15:30:00+02:00,2711,2711,2688.75,2690,-1,-7,2755.8048868455367
2016-06-27T16:30:00+02:00,2690.25,2694.5,2681.75,2689,-1,-8,2749.442516669771
2016-06-27T17:30:00+02:00,2689,2696.75,2688.25,2696.25,1,1,2744.3765627012212
2016-06-27T18:30:00+02:00,2696.25,2697,2688.75,2695.25,-1,-1,2739.697842443962
2016-06-27T19:30:00+02:00,2695.25,2696,2684.5,2690,-1,-2,2734.9647145921563
2016-06-27T20:30:00+02:00,2690.25,2692.75,2681.75,2685.5,-1,-3,2730.2537893929034
2016-06-27T21:30:00+02:00,2685.5,2694.75,2684.25,2685.25,-1,-4,2725.967714212627
2016-06-28T15:30:00+02:00,2710,2718.5,2708.5,2712.75,1,1,2724.708884287615
2016-06-28T16:30:00+02:00,2712.75,2715.5,2706.25,2707.25,-1,-1,2723.04613340308
2016-06-28T17:30:00+02:00,2707.25,2714.25,2706.75,2711.25,1,1,2721.9226921265963
2016-06-28T18:30:00+02:00,2711.5,2716.25,2709.75,2710.5,-1,-1,2720.8348166859682
2016-06-28T19:30:00+02:00,2710.5,2712.75,2708.5,2711.75,1,1,2719.9695960492095
2016-06-28T20:30:00+02:00,2711.5,2726,2711.25,2720.5,1,2,2720.0201107111893
2016-06-28T21:30:00+02:00,2720.75,2729.25,2719.25,2728.5,1,3,2720.8277192148857
2016-06-29T15:30:00+02:00,2744,2751.5,2742.5,2750.5,1,4,2723.65365071823
2016-06-29T16:30:00+02:00,2750.75,2755.25,2749,2755,1,5,2726.6390173164937
2016-06-29T17:30:00+02:00,2755,2760,2754,2759.5,1,6,2729.768634714923
2016-06-29T18:30:00+02:00,2759.5,2759.5,2754.25,2756,-1,-1,2732.266859980168
2016-06-29T19:30:00+02:00,2756,2761.75,2755.75,2760.5,1,1,2734.955730458247
2016-06-29T20:30:00+02:00,2760.75,2764.75,2759,2764.25,1,2,2737.745660890795
2016-06-29T21:30:00+02:00,2764.25,2767.5,2759.5,2767.25,1,3,2740.5555979488145
2016-06-30T15:30:00+02:00,2768,2769.25,2761.25,2763.25,-1,-1,2742.716969572737
2016-06-30T16:30:00+02:00,2763.25,2776,2763,2774.25,1,1,2745.7201153277147
2016-06-30T17:30:00+02:00,2774.25,2784,2772.75,2783,1,2,2749.270580534599
2016-06-30T18:30:00+02:00,2782.75,2785.75,2781,2782.75,0,0,2752.459096674161
2016-06-30T19:30:00+02:00,2782.75,2789,2781.5,2785,1,1,2755.558230324241
2016-06-30T20:30:00+02:00,2785,2788.75,2783.25,2788,1,2,2758.647922674313
2016-06-30T21:30:00+02:00,2788.25,2791.5,2784.25,2788.75,1,3,2761.5147871815216
2016-07-01T15:30:00+02:00,2789.5,2800.25,2789.25,2799.5,1,4,2765.132426497567
2016-07-01T16:30:00+02:00,2799.75,2801,2795.25,2796.75,-1,-1,2768.143623973989
2016-07-01T17:30:00+02:00,2796.5,2798,2793.25,2794.25,-1,-2,2770.629945500276
2016-07-01T18:30:00+02:00,2794,2797.5,2792.75,2793,-1,-3,2772.760426881202
2016-07-01T19:30:00+02:00,2793.25,2795.5,2792,2794,1,1,2774.7832433687067
2016-07-01T20:30:00+02:00,2794,2797.5,2791.25,2796.75,1,2,2776.8753154288297
2016-07-01T21:30:00+02:00,2796.75,2798,2793,2797,1,3,2778.7919520546557
2016-07-05T15:30:00+02:00,2785.5,2786.75,2777,2781,-1,-1,2779.0022423351647
2016-07-05T16:30:00+02:00,2780.75,2783.5,2774.75,2780,-1,-2,2779.0972668746726
2016-07-05T17:30:00+02:00,2780,2780.5,2776,2780,0,0,2779.183241458037
2016-07-05T18:30:00+02:00,2780,2780.25,2775.5,2775.75,-1,-1,2778.8562660810812
2016-07-05T19:30:00+02:00,2775.75,2779.25,2772.75,2776,1,1,2778.584240740026
2016-07-05T20:30:00+02:00,2776,2778.75,2772.75,2777.75,1,2,2778.5047892409757
2016-07-05T21:30:00+02:00,2777.75,2783.75,2777,2783.25,1,3,2778.9567140751683
2016-07-06T15:30:00+02:00,2774,2778.75,2767.25,2768,-1,-1,2777.9132174965807
2016-07-06T16:30:00+02:00,2768,2782.5,2766,2778.75,1,1,2777.992911068335
2016-07-06T17:30:00+02:00,2778.75,2787.75,2778.75,2786.75,1,2,2778.8269195380176
2016-07-06T18:30:00+02:00,2786.75,2790.25,2785,2787.25,1,3,2779.629117677254
2016-07-06T19:30:00+02:00,2787.5,2789.5,2783,2786.5,-1,-1,2780.283487422277
2016-07-06T20:30:00+02:00,2786.5,2792.25,2786,2788.25,1,1,2781.04220290587
2016-07-06T21:30:00+02:00,2788,2794.75,2787.75,2794,1,2,2782.276278819597
2016-07-07T15:30:00+02:00,2794.5,2802.25,2794.25,2800.75,1,3,2784.0356808367783
2016-07-07T16:30:00+02:00,2800.75,2801.75,2791.25,2793.5,-1,-1,2784.937044566609
2016-07-07T17:30:00+02:00,2793.5,2793.75,2789.5,2792.75,-1,-2,2785.6811355602654
2016-07-07T18:30:00+02:00,2792.5,2793,2785.25,2788,-1,-3,2785.901979792621
2016-07-07T19:30:00+02:00,2788.25,2790.25,2782.75,2784.75,-1,-4,2785.792267431419
2016-07-07T20:30:00+02:00,2785,2788,2782,2787.75,1,1,2785.9787181522365
2016-07-07T21:30:00+02:00,2787.5,2792.5,2786.75,2792.5,1,2,2786.5997926139285
2016-07-08T15:30:00+02:00,2806.5,2814,2803.75,2812,1,3,2789.0188599840303
2016-07-08T16:30:00+02:00,2812,2818.75,2810.5,2817.75,1,4,2791.7551590331705
2016-07-08T17:30:00+02:00,2817.75,2818.5,2816.5,2816.75,-1,-1,2794.1356200776304
2016-07-08T18:30:00+02:00,2816.5,2820,2816.25,2820,1,1,2796.5988943559514
2016-07-08T19:30:00+02:00,2819.75,2823.25,2819.5,2822.75,1,2,2799.0894758458608
2016-07-08T20:30:00+02:00,2822.5,2825.75,2821.25,2821.75,-1,-1,2801.247621003398
2016-07-08T21:30:00+02:00,2821.5,2824,2820,2820,-1,-2,2803.033561860217
2016-07-11T15:30:00+02:00,2827.75,2832.75,2825.5,2827.5,-1,-3,2805.363698825911
2016-07-11T16:30:00+02:00,2827.5,2834.5,2827.25,2833.5,1,1,2808.0433465567767
2016-07-11T17:30:00+02:00,2833.25,2835,2833,2834.25,1,2,2810.539218313274
2016-07-11T18:30:00+02:00,2834.5,2837,2834,2834.5,0,0,2812.8211975215336
2016-07-11T19:30:00+02:00,2834.5,2836,2833.25,2834.25,-1,-1,2814.862035852816
2016-07-11T20:30:00+02:00,2834.25,2836,2833.25,2833.75,-1,-2,2816.660889581119
2016-07-11T21:30:00+02:00,2833.75,2834,2829,2830.75,-1,-3,2818.0027096210124
2016-07-12T15:30:00+02:00,2841.5,2845.5,2838.5,2840.75,-1,-4,2820.169118228535
2016-07-12T16:30:00+02:00,2840.75,2845.5,2840,2845,1,1,2822.5339641115315
2016-07-12T17:30:00+02:00,2845,2848.75,2844.75,2848.5,1,2,2825.006919910433
2016-07-12T18:30:00+02:00,2848.5,2849.25,2846.5,2848.25,-1,-1,2827.22054658563
2016-07-12T19:30:00+02:00,2848,2849.25,2845.75,2848,0,0,2829.199542148903
2016-07-12T20:30:00+02:00,2848,2849.5,2845,2846.5,-1,-1,2830.8472048013887
2016-07-12T21:30:00+02:00,2846.5,2848,2844.25,2846.25,-1,-2,2832.314137677447
2016-07-13T15:30:00+02:00,2851,2851,2843.75,2845.5,-1,-3,2833.5699340891188
2016-07-13T16:30:00+02:00,2845.75,2848.25,2843.5,2844.25,-1,-4,2834.587083223488
2016-07-13T17:30:00+02:00,2844.25,2844.5,2839.75,2842.75,-1,-5,2835.36450386887
2016-07-13T18:30:00+02:00,2842.75,2845.75,2841.5,2843.25,1,1,2836.1155035004062
2016-07-13T19:30:00+02:00,2843,2847.25,2842.25,2846.75,1,2,2837.128312690844
2016-07-13T20:30:00+02:00,2847,2848,2844.75,2845.5,-1,-1,2837.925616244097
2016-07-13T21:30:00+02:00,2845.75,2847.75,2845.25,2846,1,1,2838.6946051732307
2016-07-14T15:30:00+02:00,2860.5,2863.25,2855.75,2860.5,0,0,2840.7713094424466
2016-07-14T16:30:00+02:00,2860.5,2862.75,2857.75,2860,-1,-1,2842.602613305071
